Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
episode_rewards,hundred_ep_reward_avgs,episode_lengths,,,,,,,,,,,,,,,,,,,
260.0665588,,,,,,,,,,,,,,,,,,,,,
263.4461932,,,,,,,,,,,,,,,,,,,,,
229.2460697,,,,,,,,,,,,,,,,,,,,,
226.9931316,,,,,,,,,,,,,,,,,,,,,
272.4025441,,,,,,,,,,,,,,,,,,,,,
275.0154138,,,,,,,,,,,,,,,,,,,,,
217.9573207,,,,,,,,,,,,,,,,,,,,,
48.364685,,,,,,,,,,,,,,,,,,,,,
223.6765315,,,,,,,,,,,,,,,,,,,,,
243.3917315,,,,,,,,,,,,,,,,,,,,,
-3.670125467,,,,,,,,,,,,,,,,,,,,,
280.9346089,,,,,,,,,,,,,,,,,,,,,
273.6588125,,,,,,,,,,,,,,,,,,,,,
249.542297,,,,,,,,,,,,,,,,,,,,,
266.5320961,,,,,,,,,,,,,,,,,,,,,
180.5990017,,,,,,,,,,,,,,,,,,,,,
236.619468,,,,,,,,,,,,,,,,,,,,,
267.7668718,,,,,,,,,,,,,,,,,,,,,
278.2676976,,,,,,,,,,,,,,,,,,,,,
251.0698681,,,,,,,,,,,,,,,,,,,,,
274.0505409,,,,,,,,,,,,,,,,,,,,,
241.1417905,,,,,,,,,,,,,,,,,,,,,
270.2607298,,,,,,,,,,,,,,,,,,,,,
252.5055172,,,,,,,,,,,,,,,,,,,,,
284.8597277,,,,,,,,,,,,,,,,,,,,,
269.0584173,,,,,,,,,,,,,,,,,,,,,
284.0870789,,,,,,,,,,,,,,,,,,,,,
223.7708726,,,,,,,,,,,,,,,,,,,,,
221.4748358,,,,,,,,,,,,,,,,,,,,,
127.941525,,,,,,,,,,,,,,,,,,,,,
244.5266833,,,,,,,,,,,,,,,,,,,,,
297.3484915,,,,,,,,,,,,,,,,,,,,,
268.8980976,,,,,,,,,,,,,,,,,,,,,
258.6066497,,,,,,,,,,,,,,,,,,,,,
285.8625291,,,,,,,,,,,,,,,,,,,,,
288.8504617,,,,,,,,,,,,,,,,,,,,,
240.9230823,,,,,,,,,,,,,,,,,,,,,
278.0143956,,,,,,,,,,,,,,,,,,,,,
163.2126243,,,,,,,,,,,,,,,,,,,,,
249.5346913,,,,,,,,,,,,,,,,,,,,,
218.2309078,,,,,,,,,,,,,,,,,,,,,
270.5547741,,,,,,,,,,,,,,,,,,,,,
250.0636618,,,,,,,,,,,,,,,,,,,,,
153.6264377,,,,,,,,,,,,,,,,,,,,,
124.575409,,,,,,,,,,,,,,,,,,,,,
245.2447531,,,,,,,,,,,,,,,,,,,,,
268.0667226,,,,,,,,,,,,,,,,,,,,,
94.3336616,,,,,,,,,,,,,,,,,,,,,
285.3553061,,,,,,,,,,,,,,,,,,,,,
146.6661713,,,,,,,,,,,,,,,,,,,,,
-3.696230285,,,,,,,,,,,,,,,,,,,,,
298.5580299,,,,,,,,,,,,,,,,,,,,,
290.3515877,,,,,,,,,,,,,,,,,,,,,
266.1299469,,,,,,,,,,,,,,,,,,,,,
269.2638846,,,,,,,,,,,,,,,,,,,,,
270.2364661,,,,,,,,,,,,,,,,,,,,,
281.0564764,,,,,,,,,,,,,,,,,,,,,
283.5960828,,,,,,,,,,,,,,,,,,,,,
280.7833962,,,,,,,,,,,,,,,,,,,,,
271.5339608,,,,,,,,,,,,,,,,,,,,,
232.7104001,,,,,,,,,,,,,,,,,,,,,
307.2487258,,,,,,,,,,,,,,,,,,,,,
292.1716492,,,,,,,,,,,,,,,,,,,,,
250.5725639,,,,,,,,,,,,,,,,,,,,,
246.8484614,,,,,,,,,,,,,,,,,,,,,
283.7132207,,,,,,,,,,,,,,,,,,,,,
252.0043071,,,,,,,,,,,,,,,,,,,,,
263.4604486,,,,,,,,,,,,,,,,,,,,,
263.3679507,,,,,,,,,,,,,,,,,,,,,
263.0368441,,,,,,,,,,,,,,,,,,,,,
281.042653,,,,,,,,,,,,,,,,,,,,,
320.7345907,,,,,,,,,,,,,,,,,,,,,
269.3602531,,,,,,,,,,,,,,,,,,,,,
267.4331943,,,,,,,,,,,,,,,,,,,,,
273.4820036,,,,,,,,,,,,,,,,,,,,,
240.470358,,,,,,,,,,,,,,,,,,,,,
241.9640371,,,,,,,,,,,,,,,,,,,,,
288.1801539,,,,,,,,,,,,,,,,,,,,,
279.7914616,,,,,,,,,,,,,,,,,,,,,
277.2267954,,,,,,,,,,,,,,,,,,,,,
291.4676457,,,,,,,,,,,,,,,,,,,,,
-82.59838719,,,,,,,,,,,,,,,,,,,,,
223.8749388,,,,,,,,,,,,,,,,,,,,,
254.7922867,,,,,,,,,,,,,,,,,,,,,
271.7297861,,,,,,,,,,,,,,,,,,,,,
268.0154456,,,,,,,,,,,,,,,,,,,,,
257.0646273,,,,,,,,,,,,,,,,,,,,,
302.8402324,,,,,,,,,,,,,,,,,,,,,
-73.39324945,,,,,,,,,,,,,,,,,,,,,
278.950208,,,,,,,,,,,,,,,,,,,,,
282.7214311,,,,,,,,,,,,,,,,,,,,,
242.6682063,,,,,,,,,,,,,,,,,,,,,
256.5869151,,,,,,,,,,,,,,,,,,,,,
252.5575182,,,,,,,,,,,,,,,,,,,,,
15.54341017,,,,,,,,,,,,,,,,,,,,,
148.3221334,,,,,,,,,,,,,,,,,,,,,
17.70933152,,,,,,,,,,,,,,,,,,,,,
44.26833116,,,,,,,,,,,,,,,,,,,,,
232.0311795,,,,,,,,,,,,,,,,,,,,,
259.5460712,,,,,,,,,,,,,,,,,,,,,
-23.06549992,,,,,,,,,,,,,,,,,,,,,
157.8321797,,,,,,,,,,,,,,,,,,,,,
214.5146487,,,,,,,,,,,,,,,,,,,,,
212.9797848,,,,,,,,,,,,,,,,,,,,,
253.3671752,,,,,,,,,,,,,,,,,,,,,
138.9445351,,,,,,,,,,,,,,,,,,,,,
215.9496539,,,,,,,,,,,,,,,,,,,,,
234.1513863,,,,,,,,,,,,,,,,,,,,,
261.7192647,,,,,,,,,,,,,,,,,,,,,
238.6077482,,,,,,,,,,,,,,,,,,,,,
267.1263594,,,,,,,,,,,,,,,,,,,,,
260.1321114,,,,,,,,,,,,,,,,,,,,,
251.494905,,,,,,,,,,,,,,,,,,,,,
279.0673229,,,,,,,,,,,,,,,,,,,,,
14.26375212,,,,,,,,,,,,,,,,,,,,,
66.08424838,,,,,,,,,,,,,,,,,,,,,
261.2543685,,,,,,,,,,,,,,,,,,,,,
216.9030121,,,,,,,,,,,,,,,,,,,,,
255.3914383,,,,,,,,,,,,,,,,,,,,,
28.7690598,,,,,,,,,,,,,,,,,,,,,
274.1562088,,,,,,,,,,,,,,,,,,,,,
124.8663385,,,,,,,,,,,,,,,,,,,,,
275.3585028,,,,,,,,,,,,,,,,,,,,,
43.08656334,,,,,,,,,,,,,,,,,,,,,
230.802083,,,,,,,,,,,,,,,,,,,,,
65.11567098,,,,,,,,,,,,,,,,,,,,,
-2.758348482,,,,,,,,,,,,,,,,,,,,,
102.1783595,,,,,,,,,,,,,,,,,,,,,
220.7942881,,,,,,,,,,,,,,,,,,,,,
73.9120935,,,,,,,,,,,,,,,,,,,,,
282.0609728,,,,,,,,,,,,,,,,,,,,,
216.0812122,,,,,,,,,,,,,,,,,,,,,
283.4528828,,,,,,,,,,,,,,,,,,,,,
235.8728091,,,,,,,,,,,,,,,,,,,,,
150.8891186,,,,,,,,,,,,,,,,,,,,,
-52.41460993,,,,,,,,,,,,,,,,,,,,,
251.7922499,,,,,,,,,,,,,,,,,,,,,
146.4671226,,,,,,,,,,,,,,,,,,,,,
299.9677461,,,,,,,,,,,,,,,,,,,,,
247.4700043,,,,,,,,,,,,,,,,,,,,,
2.554363464,,,,,,,,,,,,,,,,,,,,,
267.1873798,,,,,,,,,,,,,,,,,,,,,
275.3515558,,,,,,,,,,,,,,,,,,,,,
220.6478388,,,,,,,,,,,,,,,,,,,,,
290.0574799,,,,,,,,,,,,,,,,,,,,,
210.2221684,,,,,,,,,,,,,,,,,,,,,
260.5503093,,,,,,,,,,,,,,,,,,,,,
244.0389074,,,,,,,,,,,,,,,,,,,,,
279.1488685,,,,,,,,,,,,,,,,,,,,,
227.8190593,,,,,,,,,,,,,,,,,,,,,
253.8269668,,,,,,,,,,,,,,,,,,,,,
299.1147708,,,,,,,,,,,,,,,,,,,,,
235.1551157,,,,,,,,,,,,,,,,,,,,,
226.2660094,,,,,,,,,,,,,,,,,,,,,
214.9791554,,,,,,,,,,,,,,,,,,,,,
247.4363466,,,,,,,,,,,,,,,,,,,,,
234.0090962,,,,,,,,,,,,,,,,,,,,,
245.2093236,,,,,,,,,,,,,,,,,,,,,
285.0194781,,,,,,,,,,,,,,,,,,,,,
222.6071265,,,,,,,,,,,,,,,,,,,,,
272.8338322,,,,,,,,,,,,,,,,,,,,,
247.7986053,,,,,,,,,,,,,,,,,,,,,
227.4070892,,,,,,,,,,,,,,,,,,,,,
257.1910727,,,,,,,,,,,,,,,,,,,,,
79.23198094,,,,,,,,,,,,,,,,,,,,,
-13.45275171,,,,,,,,,,,,,,,,,,,,,
242.1167807,,,,,,,,,,,,,,,,,,,,,
216.912067,,,,,,,,,,,,,,,,,,,,,
27.51798608,,,,,,,,,,,,,,,,,,,,,
239.7873921,,,,,,,,,,,,,,,,,,,,,
85.78123472,,,,,,,,,,,,,,,,,,,,,
258.8584031,,,,,,,,,,,,,,,,,,,,,
255.0129148,,,,,,,,,,,,,,,,,,,,,
246.9349506,,,,,,,,,,,,,,,,,,,,,
196.2219415,,,,,,,,,,,,,,,,,,,,,
-24.73021307,,,,,,,,,,,,,,,,,,,,,
243.711202,,,,,,,,,,,,,,,,,,,,,
204.8202486,,,,,,,,,,,,,,,,,,,,,
107.1493057,,,,,,,,,,,,,,,,,,,,,
251.3107919,,,,,,,,,,,,,,,,,,,,,
8.504727431,,,,,,,,,,,,,,,,,,,,,
249.7566845,,,,,,,,,,,,,,,,,,,,,
242.0097831,,,,,,,,,,,,,,,,,,,,,
249.8164295,,,,,,,,,,,,,,,,,,,,,
291.486722,,,,,,,,,,,,,,,,,,,,,
259.3233862,,,,,,,,,,,,,,,,,,,,,
296.6351772,,,,,,,,,,,,,,,,,,,,,
23.97673296,,,,,,,,,,,,,,,,,,,,,
235.3754638,,,,,,,,,,,,,,,,,,,,,
212.3013148,,,,,,,,,,,,,,,,,,,,,
298.1950875,,,,,,,,,,,,,,,,,,,,,
282.4577108,,,,,,,,,,,,,,,,,,,,,
12.1554382,,,,,,,,,,,,,,,,,,,,,
243.4123364,,,,,,,,,,,,,,,,,,,,,
277.9916972,,,,,,,,,,,,,,,,,,,,,
253.263621,,,,,,,,,,,,,,,,,,,,,
271.3699893,,,,,,,,,,,,,,,,,,,,,
279.4525069,,,,,,,,,,,,,,,,,,,,,
232.7765252,,,,,,,,,,,,,,,,,,,,,
284.4989334,,,,,,,,,,,,,,,,,,,,,
273.7913039,,,,,,,,,,,,,,,,,,,,,
201.3306312,,,,,,,,,,,,,,,,,,,,,
249.6404751,,,,,,,,,,,,,,,,,,,,,
284.0307306,,,,,,,,,,,,,,,,,,,,,
45.02770156,,,,,,,,,,,,,,,,,,,,,
42.67010402,,,,,,,,,,,,,,,,,,,,,
216.2912436,,,,,,,,,,,,,,,,,,,,,
297.6354131,,,,,,,,,,,,,,,,,,,,,
265.1305382,,,,,,,,,,,,,,,,,,,,,
238.5891894,,,,,,,,,,,,,,,,,,,,,
-32.11908423,,,,,,,,,,,,,,,,,,,,,
219.9222804,,,,,,,,,,,,,,,,,,,,,
264.1078748,,,,,,,,,,,,,,,,,,,,,
284.6986846,,,,,,,,,,,,,,,,,,,,,
261.2415896,,,,,,,,,,,,,,,,,,,,,
-36.16624415,,,,,,,,,,,,,,,,,,,,,
261.0628402,,,,,,,,,,,,,,,,,,,,,
130.862631,,,,,,,,,,,,,,,,,,,,,
237.555762,,,,,,,,,,,,,,,,,,,,,
180.4177351,,,,,,,,,,,,,,,,,,,,,
240.1598359,,,,,,,,,,,,,,,,,,,,,
116.0304659,,,,,,,,,,,,,,,,,,,,,
-6.887781826,,,,,,,,,,,,,,,,,,,,,
247.8950729,,,,,,,,,,,,,,,,,,,,,
198.5343175,,,,,,,,,,,,,,,,,,,,,
244.8089286,,,,,,,,,,,,,,,,,,,,,
-13.08323901,,,,,,,,,,,,,,,,,,,,,
212.9943826,,,,,,,,,,,,,,,,,,,,,
171.9599421,,,,,,,,,,,,,,,,,,,,,
241.4126756,,,,,,,,,,,,,,,,,,,,,
136.603889,,,,,,,,,,,,,,,,,,,,,
295.0168212,,,,,,,,,,,,,,,,,,,,,
43.00669071,,,,,,,,,,,,,,,,,,,,,
141.8814738,,,,,,,,,,,,,,,,,,,,,
230.1197158,,,,,,,,,,,,,,,,,,,,,
60.58140267,,,,,,,,,,,,,,,,,,,,,
230.2136595,,,,,,,,,,,,,,,,,,,,,
263.4182247,,,,,,,,,,,,,,,,,,,,,
63.47585618,,,,,,,,,,,,,,,,,,,,,
149.1232742,,,,,,,,,,,,,,,,,,,,,
-258.6057647,,,,,,,,,,,,,,,,,,,,,
-42.09752432,,,,,,,,,,,,,,,,,,,,,
-35.19088093,,,,,,,,,,,,,,,,,,,,,
10.91193679,,,,,,,,,,,,,,,,,,,,,
97.9171052,,,,,,,,,,,,,,,,,,,,,
113.2268671,,,,,,,,,,,,,,,,,,,,,
259.1100108,,,,,,,,,,,,,,,,,,,,,
76.47229404,,,,,,,,,,,,,,,,,,,,,
240.5866653,,,,,,,,,,,,,,,,,,,,,
252.9656992,,,,,,,,,,,,,,,,,,,,,
262.0314276,,,,,,,,,,,,,,,,,,,,,
239.7413431,,,,,,,,,,,,,,,,,,,,,
283.8530771,,,,,,,,,,,,,,,,,,,,,
248.9970807,,,,,,,,,,,,,,,,,,,,,
76.07855667,,,,,,,,,,,,,,,,,,,,,
