Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
episode_rewards,hundred_ep_reward_avgs,episode_lengths,,,,,,,,,,,,,,,,,,,
-52.38206481,368,,,,,,,,,,,,,,,,,,,,
-41.11216547,340,,,,,,,,,,,,,,,,,,,,
-24.62339263,361,,,,,,,,,,,,,,,,,,,,
-2.840608571,360,,,,,,,,,,,,,,,,,,,,
-65.66756274,371,,,,,,,,,,,,,,,,,,,,
-21.22020517,399,,,,,,,,,,,,,,,,,,,,
15.05772001,383,,,,,,,,,,,,,,,,,,,,
45.0034231,429,,,,,,,,,,,,,,,,,,,,
-37.00661937,399,,,,,,,,,,,,,,,,,,,,
21.22454259,72,,,,,,,,,,,,,,,,,,,,
-11.08736316,382,,,,,,,,,,,,,,,,,,,,
4.558327042,397,,,,,,,,,,,,,,,,,,,,
2.281697805,236,,,,,,,,,,,,,,,,,,,,
38.44351864,362,,,,,,,,,,,,,,,,,,,,
10.11525126,255,,,,,,,,,,,,,,,,,,,,
24.66198348,303,,,,,,,,,,,,,,,,,,,,
-31.71107546,419,,,,,,,,,,,,,,,,,,,,
38.12620673,341,,,,,,,,,,,,,,,,,,,,
3.378890732,356,,,,,,,,,,,,,,,,,,,,
10.81985568,385,,,,,,,,,,,,,,,,,,,,
2.390246581,58,,,,,,,,,,,,,,,,,,,,
6.115909352,375,,,,,,,,,,,,,,,,,,,,
-9.360512939,355,,,,,,,,,,,,,,,,,,,,
28.95212167,241,,,,,,,,,,,,,,,,,,,,
-48.66093849,92,,,,,,,,,,,,,,,,,,,,
-34.78196906,332,,,,,,,,,,,,,,,,,,,,
26.77552974,265,,,,,,,,,,,,,,,,,,,,
-34.91005057,223,,,,,,,,,,,,,,,,,,,,
50.70887139,196,,,,,,,,,,,,,,,,,,,,
64.72152735,319,,,,,,,,,,,,,,,,,,,,
22.59240908,312,,,,,,,,,,,,,,,,,,,,
59.04730079,201,,,,,,,,,,,,,,,,,,,,
35.50452516,298,,,,,,,,,,,,,,,,,,,,
13.48915694,266,,,,,,,,,,,,,,,,,,,,
